,year,month,tem
0,2000,1,1.4301566579634464
1,2000,2,3.9055309734513273
2,2000,3,10.982522796352583
3,2000,4,16.749631811487482
4,2000,5,22.29019607843137
5,2000,6,25.298297872340424
6,2000,7,28.758928571428573
7,2000,8,27.555362116991642
8,2000,9,23.16883116883117
9,2000,10,17.70727023319616
10,2000,11,9.766767830045524
11,2000,12,6.593277310924369
12,2001,1,3.8478767123287674
13,2001,2,5.684186746987952
14,2001,3,10.666350067842604
15,2001,4,15.30210378681627
16,2001,5,22.320833333333333
17,2001,6,24.600646551724136
18,2001,7,30.088085399449035
19,2001,8,26.272145804676757
20,2001,9,23.49247159090909
21,2001,10,18.217768595041324
22,2001,11,10.640476190476189
23,2001,12,4.727049180327869
24,2002,1,4.998005502063274
25,2002,2,7.552269288956127
26,2002,3,12.11944827586207
27,2002,4,16.332152974504247
28,2002,5,19.383787465940053
29,2002,6,25.885255474452556
30,2002,7,28.439531680440773
31,2002,8,26.554639889196675
32,2002,9,23.17542492917847
33,2002,10,17.795028818443804
34,2002,11,10.348234463276835
35,2002,12,4.724184782608695
36,2003,1,2.4827586206896552
37,2003,2,5.592438271604938
38,2003,3,9.562983425414364
39,2003,4,14.999576868829337
40,2003,5,20.366805555555555
41,2003,6,25.082478632478633
42,2003,7,28.304471544715447
43,2003,8,27.549110807113543
44,2003,9,24.6568669527897
45,2003,10,16.471077762619373
46,2003,11,10.784225352112676
47,2003,12,4.582242339832868
48,2004,1,3.3083217753120664
49,2004,2,8.0375
50,2004,3,9.861785216178522
51,2004,4,16.818607954545453
52,2004,5,21.080303030303032
53,2004,6,24.763960113960113
54,2004,7,29.11384615384615
55,2004,8,27.930800542740844
56,2004,9,22.836657101865136
57,2004,10,17.29866760168303
58,2004,11,12.529584527220631
59,2004,12,6.388927576601672
60,2005,1,1.4311334289813487
61,2005,2,3.059167950693374
62,2005,3,9.110795454545455
63,2005,4,18.26984572230014
64,2005,5,21.143228454172366
65,2005,6,27.568394886363638
66,2005,7,28.434684065934068
67,2005,8,26.578094575799724
68,2005,9,24.63198005698006
69,2005,10,16.822664835164836
70,2005,11,13.411621233859398
71,2005,12,3.528021978021978
72,2006,1,3.714482758620689
73,2006,2,4.174924012158055
74,2006,3,11.34429347826087
75,2006,4,16.819409282700423
76,2006,5,20.914774281805744
77,2006,6,26.267651195499298
78,2006,7,28.477732793522268
79,2006,8,29.17278911564626
80,2006,9,21.841466854724963
81,2006,10,19.77387140902873
82,2006,11,12.420305980528513
83,2006,12,4.944535519125683
84,2007,1,3.2535075653370016
85,2007,2,8.88429003021148
86,2007,3,11.526970954356846
87,2007,4,16.030212765957447
88,2007,5,23.483739837398375
89,2007,6,25.10807799442897
90,2007,7,28.198228882833785
91,2007,8,29.108852005532505
92,2007,9,23.537359550561796
93,2007,10,18.057006802721087
94,2007,11,10.665646731571627
95,2007,12,6.244354838709677
96,2008,1,1.325169147496617
97,2008,2,2.418313953488372
98,2008,3,11.317227456258411
99,2008,4,15.75495118549512
100,2008,5,22.25800807537012
101,2008,6,23.545275035260932
102,2008,7,29.089784946236556
103,2008,8,26.855316285329746
104,2008,9,24.172905027932963
105,2008,10,18.826315789473686
106,2008,11,10.97566063977747
107,2008,12,5.43606998654105
108,2009,1,2.193877551020408
109,2009,2,7.391803278688525
110,2009,3,9.830393487109905
111,2009,4,16.619722222222222
112,2009,5,21.710887096774194
113,2009,6,26.503225806451617
114,2009,7,28.006486486486487
115,2009,8,27.041453566621804
116,2009,9,23.49442896935933
117,2009,10,19.522911051212937
118,2009,11,8.255090655509065
119,2009,12,4.353044654939106
120,2010,1,3.626315789473684
121,2010,2,6.076761619190405
122,2010,3,8.666644204851753
123,2010,4,12.658635097493036
124,2010,5,21.031578947368423
125,2010,6,24.923570432357046
126,2010,7,28.173045822102427
127,2010,8,29.441778975741236
128,2010,9,24.04881780250348
129,2010,10,16.645956873315363
130,2010,11,11.46792189679219
131,2010,12,6.060781671159029
132,2011,1,-0.27550744248985115
133,2011,2,4.8601190476190474
134,2011,3,9.195675675675677
135,2011,4,16.737430167597765
136,2011,5,21.806207827260458
137,2011,6,24.543314763231198
138,2011,7,27.98279569892473
139,2011,8,26.887989203778677
140,2011,9,22.88261474269819
141,2011,10,17.316711590296496
142,2011,11,14.350972222222222
143,2011,12,4.019650067294751
144,2012,1,2.865725806451613
145,2012,2,2.953956834532374
146,2012,3,9.024489795918367
147,2012,4,17.94979137691238
148,2012,5,21.72772543741588
149,2012,6,25.59568845618915
150,2012,7,29.581940700808627
151,2012,8,27.95114401076716
152,2012,9,21.966805555555556
153,2012,10,17.933647375504712
154,2012,11,9.810629370629371
155,2012,12,3.4456140350877194
156,2013,1,3.1042349726775957
157,2013,2,5.616892911010558
158,2013,3,10.918579234972679
159,2013,4,15.95063649222065
160,2013,5,21.787886944818304
161,2013,6,24.50990237099024
162,2013,7,30.47563930013459
163,2013,8,30.764064602960968
164,2013,9,23.536022253129346
165,2013,10,17.92543741588156
166,2013,11,11.45980528511822
167,2013,12,3.938088829071332
168,2014,1,5.489203778677463
169,2014,2,4.706716417910448
170,2014,3,11.897308209959622
171,2014,4,16.261838440111422
172,2014,5,22.543108108108108
173,2014,6,24.740947075208915
174,2014,7,27.245702592087316
175,2014,8,25.399596231493945
176,2014,9,23.102228412256267
177,2014,10,18.65735492577598
178,2014,11,12.134027777777778
179,2014,12,4.18544474393531
180,2015,1,4.774059139784947
181,2015,2,6.221577380952381
182,2015,3,10.877523553162854
183,2015,4,13.2625
184,2015,5,21.5233153638814
185,2015,6,24.207361111111112
186,2015,7,26.516263440860218
187,2015,8,27.31413189771198
188,2015,9,23.407649513212796
189,2015,10,18.053970390309555
190,2015,11,11.629027777777777
191,2015,12,6.116846361185983
192,2016,1,3.066263440860215
193,2016,2,6.710703812316716
194,2016,3,11.321614227086183
195,2016,4,17.531615598885793
196,2016,5,20.139622641509433
197,2016,6,23.794575799721834
198,2016,7,29.016263440860218
199,2016,8,29.262180349932702
200,2016,9,23.95549374130737
201,2016,10,18.11424731182796
202,2016,11,11.22664796633941
203,2016,12,7.11505376344086
204,2017,1,5.388617886178862
205,2017,2,6.402529761904762
206,2017,3,10.38024193548387
207,2017,4,17.82
208,2017,5,22.76075268817204
209,2017,6,24.818258426966292
210,2017,7,30.818145161290325
211,2017,8,28.304471544715447
212,2017,9,23.184679665738162
213,2017,10,16.905114401076716
214,2017,11,12.081678321678321
215,2017,12,5.2656796769851955
216,2018,1,2.068548387096774
217,2018,2,4.677678571428571
218,2018,3,12.41263440860215
219,2018,4,18.009999999999998
220,2018,5,22.301759133964815
221,2018,6,25.971349095966623
222,2018,7,29.613269493844047
223,2018,8,29.206224627875507
224,2018,9,24.47391304347826
225,2018,10,17.418194254445964
226,2018,11,12.752014010507882
227,2018,12,5.706317204301075
228,2019,1,4.038440860215053
229,2019,2,4.484202682563338
230,2019,3,11.784174624829468
231,2019,4,17.00861111111111
232,2019,5,21.713643410852715
233,2019,6,25.400277777777777
234,2019,7,28.428763440860216
235,2019,8,28.675471698113206
236,2019,9,24.133005617977528
237,2019,10,18.61506105834464
238,2019,11,13.090691114245416
239,2019,12,6.906747638326586
